Timestamp,P1,P2,P3
2010-12-19 12:00:00+01:00,1175,2854,234
2010-12-19 12:00:01+01:00,1174,2858,229
2010-12-19 12:00:02+01:00,1176,2856,229
2010-12-19 12:00:03+01:00,1175,2852,229
2010-12-19 12:00:04+01:00,1175,2855,229
2010-12-19 12:00:05+01:00,1176,2854,229
2010-12-19 12:00:06+01:00,1174,2851,228
2010-12-19 12:00:07+01:00,1176,2846,227
2010-12-19 12:00:08+01:00,1175,2852,227
2010-12-19 12:00:09+01:00,1175,2844,227
2010-12-19 12:00:10+01:00,1176,2852,228
2010-12-19 12:00:11+01:00,1175,2849,229
2010-12-19 12:00:12+01:00,1175,2850,228
2010-12-19 12:00:13+01:00,1174,2850,233
2010-12-19 12:00:14+01:00,1124,2848,232
2010-12-19 12:00:15+01:00,1103,2852,228
2010-12-19 12:00:16+01:00,1104,2848,230
2010-12-19 12:00:17+01:00,1104,2857,228
2010-12-19 12:00:18+01:00,1098,2852,227
2010-12-19 12:00:19+01:00,1103,2851,227
2010-12-19 12:00:20+01:00,1101,2849,227
2010-12-19 12:00:21+01:00,1103,2851,229
2010-12-19 12:00:22+01:00,1100,2850,228
2010-12-19 12:00:23+01:00,1101,2846,228
2010-12-19 12:00:24+01:00,1100,2846,228
2010-12-19 12:00:25+01:00,1102,2846,227
2010-12-19 12:00:26+01:00,1101,2860,227
2010-12-19 12:00:27+01:00,1102,2869,234
2010-12-19 12:00:28+01:00,1101,2875,233
2010-12-19 12:00:29+01:00,1102,2870,227
2010-12-19 12:00:30+01:00,1100,2875,228
2010-12-19 12:00:31+01:00,1100,2872,228
2010-12-19 12:00:32+01:00,1101,2872,230
2010-12-19 12:00:33+01:00,1105,2875,228
2010-12-19 12:00:34+01:00,1097,2870,227
2010-12-19 12:00:35+01:00,1100,2873,227
2010-12-19 12:00:36+01:00,1099,2872,227
2010-12-19 12:00:37+01:00,1100,2868,227
2010-12-19 12:00:38+01:00,1100,2866,228
2010-12-19 12:00:39+01:00,1101,2870,227
2010-12-19 12:00:40+01:00,1100,2869,227
2010-12-19 12:00:41+01:00,1099,2868,232
2010-12-19 12:00:42+01:00,1101,2870,232
2010-12-19 12:00:43+01:00,1100,2865,229
2010-12-19 12:00:44+01:00,1101,2873,227
2010-12-19 12:00:45+01:00,1100,2871,226
2010-12-19 12:00:46+01:00,1101,2867,227
2010-12-19 12:00:47+01:00,1101,2866,227
2010-12-19 12:00:48+01:00,1101,2868,229
2010-12-19 12:00:49+01:00,1100,2859,228
2010-12-19 12:00:50+01:00,1102,2865,226
2010-12-19 12:00:51+01:00,1101,2865,226
2010-12-19 12:00:52+01:00,1102,2871,226
2010-12-19 12:00:53+01:00,1102,2871,226
2010-12-19 12:00:54+01:00,1116,2861,227
2010-12-19 12:00:55+01:00,1183,2866,231
2010-12-19 12:00:56+01:00,1180,2866,231
2010-12-19 12:00:57+01:00,1180,2875,226
2010-12-19 12:00:58+01:00,1178,2867,226
2010-12-19 12:00:59+01:00,2146,130,367
2010-12-19 12:01:00+01:00,2155,129,343
2010-12-19 12:01:01+01:00,2280,129,330
2010-12-19 12:01:02+01:00,2269,129,325
2010-12-19 12:01:03+01:00,2236,129,322
2010-12-19 12:01:04+01:00,2247,129,319
2010-12-19 12:01:05+01:00,2248,129,318
2010-12-19 12:01:06+01:00,2229,129,316
2010-12-19 12:01:07+01:00,2249,129,315
2010-12-19 12:01:08+01:00,2239,129,314
2010-12-19 12:01:09+01:00,2247,129,313
2010-12-19 12:01:10+01:00,2247,129,312
2010-12-19 12:01:11+01:00,2222,129,311
2010-12-19 12:01:12+01:00,2153,129,310
2010-12-19 12:01:13+01:00,2153,129,309
2010-12-19 12:01:14+01:00,2148,129,309
2010-12-19 12:01:15+01:00,2181,129,308
2010-12-19 12:01:16+01:00,2275,129,307
2010-12-19 12:01:17+01:00,2253,129,307
2010-12-19 12:01:18+01:00,2235,129,306
2010-12-19 12:01:19+01:00,2229,130,305
2010-12-19 12:01:20+01:00,2237,129,305
2010-12-19 12:01:21+01:00,2213,129,304
2010-12-19 12:01:22+01:00,2241,129,304
2010-12-19 12:01:23+01:00,2240,129,303
2010-12-19 12:01:24+01:00,2245,130,303
2010-12-19 12:01:25+01:00,2241,129,302
2010-12-19 12:01:26+01:00,2194,129,302
2010-12-19 12:01:27+01:00,2145,129,301
2010-12-19 12:01:28+01:00,2143,129,301
2010-12-19 12:01:29+01:00,2141,130,301
2010-12-19 12:01:30+01:00,2198,129,300
2010-12-19 12:01:31+01:00,2287,129,300
2010-12-19 12:01:32+01:00,2242,129,300
2010-12-19 12:01:33+01:00,2215,130,299
2010-12-19 12:01:34+01:00,2223,130,299
2010-12-19 12:01:35+01:00,2233,130,299
2010-12-19 12:01:36+01:00,2224,129,298
2010-12-19 12:01:37+01:00,2239,129,298
2010-12-19 12:01:38+01:00,2235,129,298
2010-12-19 12:01:39+01:00,2235,130,298
2010-12-19 12:01:40+01:00,2243,129,297
2010-12-19 12:01:41+01:00,2174,129,297
2010-12-19 12:01:42+01:00,2144,129,297
2010-12-19 12:01:43+01:00,2136,129,297
2010-12-19 12:01:44+01:00,2136,129,297
2010-12-19 12:01:45+01:00,2232,129,296
2010-12-19 12:01:46+01:00,2265,129,296
2010-12-19 12:01:47+01:00,2233,129,296
2010-12-19 12:01:48+01:00,2231,129,296
2010-12-19 12:01:49+01:00,2233,130,296
2010-12-19 12:01:50+01:00,2228,129,295
2010-12-19 12:01:51+01:00,2231,129,295
2010-12-19 12:01:52+01:00,2241,129,295
2010-12-19 12:01:53+01:00,2238,129,295
2010-12-19 12:01:54+01:00,2237,130,294
2010-12-19 12:01:55+01:00,2237,130,295
2010-12-19 12:01:56+01:00,2149,129,294
2010-12-19 12:01:57+01:00,2140,129,294
2010-12-19 12:01:58+01:00,2137,129,294
2010-12-19 12:01:59+01:00,2141,130,294
2010-12-19 12:02:00+01:00,2267,129,294
2010-12-19 12:02:01+01:00,2251,129,294
2010-12-19 12:02:02+01:00,2226,130,293
2010-12-19 12:02:03+01:00,2221,129,293
2010-12-19 12:02:04+01:00,2228,130,293
2010-12-19 12:02:05+01:00,2229,129,293
2010-12-19 12:02:06+01:00,2235,129,293
2010-12-19 12:02:07+01:00,2239,129,293
2010-12-19 12:02:08+01:00,2243,129,293
2010-12-19 12:02:09+01:00,2251,130,293
2010-12-19 12:02:10+01:00,2231,129,293
2010-12-19 12:02:11+01:00,2139,130,293
2010-12-19 12:02:12+01:00,2141,129,292
2010-12-19 12:02:13+01:00,2140,129,292
2010-12-19 12:02:14+01:00,2147,130,293
2010-12-19 12:02:15+01:00,2252,129,293
2010-12-19 12:02:16+01:00,2231,129,293
2010-12-19 12:02:17+01:00,2222,129,292
2010-12-19 12:02:18+01:00,2222,129,292
2010-12-19 12:02:19+01:00,2217,130,292
2010-12-19 12:02:20+01:00,2199,129,292
2010-12-19 12:02:21+01:00,2221,129,292
2010-12-19 12:02:22+01:00,2218,130,292
2010-12-19 12:02:23+01:00,2218,129,292
2010-12-19 12:02:24+01:00,2223,129,292
2010-12-19 12:02:25+01:00,2194,129,292
2010-12-19 12:02:26+01:00,2130,130,292
2010-12-19 12:02:27+01:00,2134,129,292
2010-12-19 12:02:28+01:00,2134,129,292
2010-12-19 12:02:29+01:00,2174,130,292
2010-12-19 12:02:30+01:00,2264,129,291
2010-12-19 12:02:31+01:00,2229,129,336
2010-12-19 12:02:32+01:00,2240,130,1399
2010-12-19 12:02:33+01:00,2225,130,1397
2010-12-19 12:02:34+01:00,2234,131,1397
2010-12-19 12:02:35+01:00,2221,130,1396
2010-12-19 12:02:36+01:00,2249,130,1394
2010-12-19 12:02:37+01:00,2250,130,1393
2010-12-19 12:02:38+01:00,2248,130,1394
2010-12-19 12:02:39+01:00,2256,130,1296
2010-12-19 12:02:40+01:00,2181,129,291
2010-12-19 12:02:41+01:00,2141,129,291
2010-12-19 12:02:42+01:00,2139,129,290
2010-12-19 12:02:43+01:00,2134,130,290
2010-12-19 12:02:44+01:00,2196,130,290
2010-12-19 12:02:45+01:00,2267,129,290
2010-12-19 12:02:46+01:00,2234,129,290
